FASITEC DESENVOLVIMENTO E TECNOLOGIA LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;Página:;;1/235;;
CNPJ:;;00483195000178;;;;;;;;;;;;;;;;;;;;;;;;Emissão:;;27/06/2025;;
Período:;;01/01/2024;;;;;;a;;31/12/2024;;;;;;;;;;;;;;;;Hora:;;14:23:05;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RETENÇÕES A COMPENSAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Código;;;;;Imposto;;;;;;Nota;;Tipo;;Data;;Valor Contábil;;Retenção;;;;;;;;Cód. Rec.
Cliente:;;;;;2;;;;;;CAIXA ECONOMICA FEDERAL;;;;;;;;;;;CNPJ:;;;00360305005920;;;;;
;;;16;;;;;IRRF;;;;;;202400000000001;;Serviço;;01/01/2024;;1.636,00;;78,53;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000002;;Serviço;;01/01/2024;;1.052,70;;50,53;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000003;;Serviço;;01/01/2024;;1.481,22;;71,10;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000004;;Serviço;;01/01/2024;;3.602,13;;172,90;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000005;;Serviço;;01/01/2024;;190,00;;9,12;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000006;;Serviço;;01/01/2024;;170,00;;8,16;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000007;;Serviço;;01/01/2024;;5.707,41;;273,96;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000008;;Serviço;;01/01/2024;;1.690,43;;81,14;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000009;;Serviço;;01/01/2024;;9.137,70;;438,61;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000010;;Serviço;;01/01/2024;;1.674,84;;80,39;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000011;;Serviço;;01/01/2024;;881,28;;42,30;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000012;;Serviço;;01/01/2024;;498,00;;23,90;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000013;;Serviço;;01/01/2024;;868,00;;41,66;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000014;;Serviço;;01/01/2024;;564,20;;27,08;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000015;;Serviço;;01/01/2024;;5.900,40;;283,22;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000016;;Serviço;;01/01/2024;;924,11;;44,36;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000017;;Serviço;;01/01/2024;;1.836,00;;88,13;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000018;;Serviço;;01/01/2024;;798,00;;38,30;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000019;;Serviço;;01/01/2024;;1.634,38;;78,45;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000020;;Serviço;;01/01/2024;;472,16;;22,66;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000021;;Serviço;;01/01/2024;;3.712,05;;178,18;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000022;;Serviço;;01/01/2024;;651,20;;31,26;;;;;;;;170806
